ID,Date,Symbol,Code,Company Name,Open Price,High Price,Low Price,Close Price,Volume,Previous Close
1,4-Jul-25,786,813,786 Invest Ltd,10.47,10.47,9.95,10,52001,10.21
2,4-Jul-25,AABS,826,Al-Abbas Sugar,850,866,840,857.99,194,852
3,4-Jul-25,AATM,830,Ali Asghar Textile,101.01,101.01,95,98,10973,104.92
4,4-Jul-25,ABL,807,Allied Bank Ltd,157.1,168,154.11,162.17,307886,157.01
5,4-Jul-25,ABOT,823,Abbott Lab.,1025,1055,1025,1033.08,4585,1034.6
6,4-Jul-25,ACIETF,837,Alfalah ConsumerXD,15.8,15.82,15.58,15.7,14500,15.79
7,4-Jul-25,ACPL,804,Attock Cement,284.5,289,284.5,287.16,35664,287.15
8,4-Jul-25,ADAMS,826,Adam Sugar,58.6,66.99,58.6,65.57,2471,63
9,4-Jul-25,ADMM,829,Artistic Denim,58,64.17,57.5,64.17,707520,58.34
10,4-Jul-25,AGHA,808,Agha Steel Ind.,9.09,9.11,8.9,8.93,1104955,8.91
11,4-Jul-25,AGHA-AUG,40,Agha Steel Ind.,0,0,0,9.13,0,9.12
12,4-Jul-25,AGHA-JUL,40,Agha Steel Ind.,9.15,9.2,9,9.01,216000,9
13,4-Jul-25,AGHA-SEP,40,Agha Steel Ind.,0,0,0,9.24,0,9.23
14,4-Jul-25,AGIC,812,Ask.Gen.Insur.,33.06,35.99,33.06,35.03,9141,33.99
15,4-Jul-25,AGIL,802,Agriautos Ind.,128.5,139.89,126.9,136.13,1661573,127.37
16,4-Jul-25,AGL,809,Agritech Limited,53.82,53.82,52.9,53.38,254264,53.82
17,4-Jul-25,AGL-AUG,40,Agritech Limited,0,0,0,54.59,0,55.11
18,4-Jul-25,AGL-JUL,40,Agritech Limited,54,54,53.16,53.94,29000,54.25
19,4-Jul-25,AGL-SEP,40,Agritech Limited,0,0,0,55.22,0,55.75
20,4-Jul-25,AGP,823,AGP Limited,190.1,191.9,188,190.45,474833,190.56
21,4-Jul-25,AGP-AUG,40,AGP Limited,0,0,0,194.78,0,195.13
22,4-Jul-25,AGP-JUL,40,AGP Limited,174.01,190.25,174.01,190.25,20000,192.33
23,4-Jul-25,AGP-SEP,40,AGP Limited,0,0,0,197.03,0,197.38
24,4-Jul-25,AGSML,826,Abdullah Shah,7.64,7.94,7.55,7.74,91760,7.64
25,4-Jul-25,AGTL,801,AL-Ghazi Tractors,419,419,410,412.85,11765,414.02
26,4-Jul-25,AHCL,809,Arif Habib Corp,11.04,11.4,11,11.29,2363658,11.04
27,4-Jul-25,AHL,813,Arif Habib Limited.,75.06,78,74.51,77.55,116501,76
28,4-Jul-25,AICL,812,Adamjee Ins.,59.05,63.13,57.5,62.6,7467698,57.39
29,4-Jul-25,AICL-AUG,40,Adamjee Ins.,0,0,0,64.02,0,57.51
30,4-Jul-25,AICL-JUL,40,Adamjee Ins.,59.89,63.36,58,62.57,615000,57.6
31,4-Jul-25,AICL-SEP,40,Adamjee Ins.,0,0,0,64.76,0,59.44
32,4-Jul-25,AIRLINK,828,Air Link Commun,153.99,156.1,152.4,153.48,1952977,152.83
33,4-Jul-25,AIRLINK-AUG,40,Air Link Commun,0,0,0,156.97,0,156.5
34,4-Jul-25,AIRLINK-JUL,40,Air Link Commun,154,157,153.5,154.37,551000,153.71
35,4-Jul-25,AIRLINK-SEP,40,Air Link Commun,0,0,0,158.78,0,158.3
36,4-Jul-25,AKBL,807,Askari Bank,58.6,59.7,57.03,59.3,8619231,58.52
37,4-Jul-25,AKBL-AUG,40,Askari Bank,0,0,0,60.65,0,59.92
38,4-Jul-25,AKBL-JUL,40,Askari Bank,58.27,61,57.5,59.68,341000,59.29
39,4-Jul-25,AKBL-SEP,40,Askari Bank,0,0,0,61.35,0,60.61
40,4-Jul-25,AKDHL,818,AKD Hospitality,171.61,177.99,171,171.01,8430,171.95
41,4-Jul-25,AKDSL,813,AKD Securites,28.06,29.95,28,29.95,2963162,27.23
42,4-Jul-25,AKGL,818,AL-Khair Gadoon,54,56.49,53.99,55.72,650,51.37
43,4-Jul-25,ALAC,812,Askari Life Ass,7.15,7.35,7,7.03,54770,7.19
44,4-Jul-25,ALIFE,812,Adamjee Life Ass.,30.77,33.85,30.01,32.97,156536,30.77
45,4-Jul-25,ALNRS,826,AL-Noor Sugar,79,87.48,79,87.09,9005,79.53
46,4-Jul-25,ALTN,824,Altern Energy,11.12,11.12,10.99,11.01,485091,11.02
47,4-Jul-25,AMBL,813,Apna Microfin.,13.66,13.66,13.66,13.03,1,13.03
48,4-Jul-25,AMTEX,830,Amtex Limited,3.4,3.4,3.22,3.25,686432,3.3
49,4-Jul-25,ANL,829,Azgard Nine,10.88,10.88,10.45,10.63,2673448,10.55
50,4-Jul-25,ANTM,829,AN Textile Mill,27.26,27.26,26,27.2,2756,27.25
51,4-Jul-25,APL,821,Attock Petroleum,515,520,510.05,512.49,41132,513.14
52,4-Jul-25,ARCTM,830,Arctic Textile,45.76,45.76,37.44,39.8,74725,41.6
53,4-Jul-25,ARPAK,818,Arpak Int.,55.5,61.05,55.5,56.62,1415,55.5
54,4-Jul-25,ARPL,805,Archroma Pak,421.06,421.06,411.36,413.42,6341,422.82
55,4-Jul-25,ARUJ,829,Aruj Industries,9.82,9.89,9.51,9.55,32094,9.62
56,4-Jul-25,ASC,810,Al-Shaheer Corp,7.74,8,7.31,7.92,1688441,7.53
57,4-Jul-25,ASHT,831,Ashfaq Textile,26.57,26.57,24.16,25.08,6677,26.57
58,4-Jul-25,ASIC,812,Asia Insurance,18.39,18.39,18.39,18.1,1,18.1
59,4-Jul-25,ASL,808,Aisha Steel Mill,11.25,11.44,11.1,11.28,2540921,11.19
60,4-Jul-25,ASL-AUG,40,Aisha Steel Mill,0,0,0,11.54,0,11.46
61,4-Jul-25,ASL-JUL,40,Aisha Steel Mill,11.41,11.5,11.2,11.32,379500,11.23
62,4-Jul-25,ASL-SEP,40,Aisha Steel Mill,0,0,0,11.67,0,11.59
63,4-Jul-25,ASTL,808,Amreli Steels,23.95,23.95,23,23.21,318739,23.57
64,4-Jul-25,ASTM,830,Asim Textile,16.68,16.94,16.22,16.75,3426,16.47
65,4-Jul-25,ATBA,802,Atlas Battery,294,294.93,286,290.53,14302,291.64
66,4-Jul-25,ATIL,812,Atlas Ins. Ltd,61,62.9,61,61.5,21758,61
67,4-Jul-25,ATLH,801,Atlas Honda Ltd,1082.5,1112.92,1076.82,1079.96,10012,1076.81
68,4-Jul-25,ATRL,825,Attock Refinery,676.5,680,670.11,676.21,284586,675.49
69,4-Jul-25,ATRL-AUG,40,Attock Refinery,0,0,0,691.59,0,691.7
70,4-Jul-25,ATRL-JUL,40,Attock Refinery,681,683,674,679.77,170500,679.7
